"Albertson","40.7715","-73.6482","United States","US","USA","New York","","5294","1840005227"
"Shillington","Shillington","40.3029","-75.9670","United States","US","USA","Pennsylvania","","5288","1840001188"
"White City","White City","40.5666","-111.8636","United States","US","USA","Utah","","5270","1840037177"
"Sisimiut","Sisimiut","66.9500","-53.6666","Greenland","GL","GRL","Qeqqata","admin","5227","1304160154"
"Turtle Creek","Turtle Creek","40.4085","-79.8214","United States","US","USA","Pennsylvania","","5211","1840001267"
"Kibale","Kibale","0.8000","31.0667","Uganda","UG","UGA","Kibaale","admin","5200","1800784000"
"Kalangala","Kalangala","-0.3089","32.2250","Uganda","UG","UGA","Kalangala","admin","5200","1800446257"
"Tara Hills","Tara Hills","37.9939","-122.3188","United States","US","USA","California","","5160","1840028315"
"Glendale","Glendale","39.7036","-104.9352","United States","US","USA","Colorado","","5158","1840028450"
"Vadsø","Vadso","70.0966","29.7657","Norway","NO","NOR","Finnmark","admin","5139","1578863149"
"Mechanicville","Mechanicville","42.9037","-73.6895","United States","US","USA","New York","","5130","1840000368"
"Mattawa","Mattawa","46.7364","-119.9019","United States","US","USA","Washington","","5122.0","1840022292"
"South Pasadena","South Pasadena","27.7526","-82.7394","United States","US","USA","Florida","","5118","1840015979"
"Teyateyaneng","Teyateyaneng","-29.1530","27.7530","Lesotho","LS","LSO","Berea","admin","5115","1426159118"
"Hartsdale","Hartsdale","41.0153","-73.8036","United States","US","USA","New York","","5114","1840004921"
"Broadmoor","Broadmoor","37.6914","-122.4811","United States","US","USA","California","","5112","1840017623"
"Kenneth City","Kenneth City","27.8155","-82.7162","United States","US","USA","Florida","","5093","1840017244"
"Salinas","Salinas","17.9779","-66.2961","Puerto Rico","PR","PRI","Puerto Rico","","5081","1630035570"
"Friendship Heights Village","Friendship Heights Village","38.9633","-77.0900","United States","US","USA","Maryland","","5051","1840073677"
"Santa Bárbara","Santa Barbara","18.3951","-65.9176","Puerto Rico","PR","PRI","Puerto Rico","","5007","1630023714"
"Wangdue Phodrang","Wangdue Phodrang","27.4333","89.9167","Bhutan","BT","BTN","Wangdue Phodrang","admin","5000","1064353953"
"Punakha","Punakha","27.6333","89.8333","Bhutan","BT","BTN","Punakha","admin","5000","1064171188"
"Nieuw Amsterdam","Nieuw Amsterdam","5.9100","-55.0700","Suriname","SR","SUR","Commewijne","admin","4935","1740547119"
"Ros Comáin","Ros Comain","53.6333","-8.1833","Ireland","IE","IRL","Roscommon","admin","4860","1372870384"
"Opuwo","Opuwo","-18.0596","13.8200","Namibia","NA","NAM","Kunene","admin","4857","1516958242"
"Puerto Lempira","Puerto Lempira","15.2620","-83.7716","Honduras","HN","HND","Gracias a Dios","admin","4856","1340110055"
"Klaksvík","Klaksvik","62.2375","-6.5390","Faroe Islands","FO","FRO","","admin","4664","1234149995"
"Aqtaū","Aqtau","43.6232","51.2365","Kazakhstan","KZ","KAZ","Mangghystaū","admin","4479","1398046759"
"Ilulissat","Ilulissat","69.2167","-51.1000","Greenland","GL","GRL","","admin","4413","1304656747"
"Al Qunayţirah","Al Qunaytirah","33.1257","35.8236","Syria","SY","SYR","Al Qunayţirah","admin","4318","1760132692"
"Attapu","Attapu","14.8080","106.8390","Laos","LA","LAO","Attapu","admin","4297","1418894454"
"Black River","Black River","18.0310","-77.8520","Jamaica","JM","JAM","Saint Elizabeth","admin","4229","1388022504"
"Bensonville","Bensonville","6.4333","-10.6000","Liberia","LR","LBR","Montserrado","admin","4089","1430964557"
"Xinguara","Xinguara","-7.1006","-49.9480","Brazil","BR","BRA","Pará","","4047","1076290442"
"Grevenmacher","Grevenmacher","49.7000","6.3333","Luxembourg","LU","LUX","Grevenmacher","admin","3958","1442392954"
"Wabag","Wabag","-5.4900","143.7180","Papua New Guinea","PG","PNG","Enga","admin","3958","1598428400"
"Esperanza","Esperanza","27.5800","-109.9300","Mexico","MX","MEX","Sonora","","3836","1484729183"
"Janjanbureh","Janjanbureh","13.5510","-14.7670","Gambia, The","GM","GMB","Central River","admin","3584","1270430701"
"Kaberamaido","Kaberamaido","1.7389","33.1594","Uganda","UG","UGA","Kaberamaido","admin","3400","1800845749"
"Bol","Bol","13.4590","14.7147","Chad","TD","TCD","Lac","admin","3303","1148232209"
"Hartford","Hartford","43.6210","-96.9424","United States","US","USA","South Dakota","admin","3237","1840002653"
"Louang Namtha","Louang Namtha","20.9500","101.4167","Laos","LA","LAO","Louangnamtha","admin","3225","1418920136"
"Qaqortoq","Qaqortoq","60.7289","-46.0364","Greenland","GL","GRL","Kujalleq","admin","3224","1304746917"
"Groningen","Groningen","5.7970","-55.4810","Suriname","SR","SUR","Saramacca","admin","3216","1740072928"
"Qal‘ah-ye Now","Qal`ah-ye Now","34.9830","63.1333","Afghanistan","AF","AFG","Bādghīs","admin","2997","1004947440"
"Mandalgovĭ","Mandalgovi","45.7500","106.2660","Mongolia","MN","MNG","Dundgovĭ","admin","2984","1496666560"
"Mabaruma","Mabaruma","8.2000","-59.7800","Guyana","GY","GUY","Barima-Waini","admin","2972","1328079873"
"Kerewan","Kerewan","13.4940","-16.0950","Gambia, The","GM","GMB","North Bank","admin","2751","1270976260"
"Barclayville","Barclayville","4.8000","-8.1667","Liberia","LR","LBR","Grand Kru","admin","2733","1430129873"
"Cestos City","Cestos City","5.4650","-9.5780","Liberia","LR","LBR","River Cess","admin","2578","1430708587"
"Garoowe","Garoowe","8.4000","48.5000","Somalia","SO","SOM","Nugaal","admin","2568","1706512367"
"Fuerte Olimpo","Fuerte Olimpo","-21.0696","-57.9000","Paraguay","PY","PRY","Alto Paraguay","admin","2475","1600444658"
"Yuscarán","Yuscaran","13.9440","-86.8510","Honduras","HN","HND","El Paraíso","admin","2371","1340315181"
"Onverwacht","Onverwacht","5.6000","-55.2000","Suriname","SR","SUR","Para","admin","2105","1740007571"
"Dover","Dover","40.0033","-76.8484","United States","US","USA","Pennsylvania","admin","1991","1840001442"
"Marka","Marka","1.7766","44.8533","Somalia","SO","SOM","Shabeellaha Hoose","admin","1958","1706165964"
"La Palma","La Palma","8.3982","-78.1402","Panama","PA","PAN","Darién","admin","1845","1591177082"
"Al Bayḑā’","Al Bayda'","32.7604","21.6200","Libya","LY","LBY","Al Jabal al Akhḑar","admin","1794","1434263017"
"Totness","Totness","5.8904","-56.3200","Suriname","SR","SUR","Coronie","admin","1685","1740738832"
"Xuddur","Xuddur","4.1833","43.8667","Somalia","SO","SOM","Bakool","admin","1639","1706568226"
"Chiradzulu","Chiradzulu","-15.7000","35.1833","Malawi","MW","MWI","Chiradzulu","admin","1580","1454413713"
"Geita","Geita","-2.8662","32.1666","Tanzania","TZ","TZA","Geita","admin","1536","1834469543"
"Bu’aale","Bu'aale","1.0833","42.5833","Somalia","SO","SOM","Jubbada Dhexe","admin","1490","1706765820"
"Aioun","Aioun","16.6666","-9.6167","Mauritania","MR","MRT","Hodh el Gharbi","admin","1423","1478255260"
"Machinga","Machinga","-14.9667","35.5167","Malawi","MW","MWI","Machinga","admin","1418","1454566785"
"Kaabong","Kaabong","3.5204","34.1200","Uganda","UG","UGA","Kaabong","admin","1137","1800299361"
"Fulin","Fulin","29.3500","102.7167","China","CN","CHN","Sichuan","","1049","1156759821"
"Soroti","Soroti","1.7104","33.6000","Uganda","UG","UGA","Soroti","admin","1038","1800434608"
"Lata","Lata","-10.7380","165.8567","Solomon Islands","SB","SLB","Temotu","admin","553","1090442496"
"Sélibaby","Selibaby","15.1670","-12.1833","Mauritania","MR","MRT","Guidimaka","admin","460","1478575433"
"Fada","Fada","17.1847","21.5902","Chad","TD","TCD","Ennedi-Ouest","admin","448","1148787282"
"Dhuusamarreeb","Dhuusamarreeb","5.7420","46.5080","Somalia","SO","SOM","Galguduud","admin","447","1706027824"
"Moroto","Moroto","2.5403","34.6400","Uganda","UG","UGA","Moroto","admin","371","1800980026"
"Akjoujt","Akjoujt","19.7470","-14.3910","Mauritania","MR","MRT","Inchiri","admin","370","1478247793"
"Lethem","Lethem","3.3900","-59.8000","Guyana","GY","GUY","Upper Takutu-Upper Essequibo","admin","352","1328749920"
"Waitangi","Waitangi","-44.0263","-176.3696","New Zealand","NZ","NZL","Chatham Islands","admin","300","1554847194"
"Kenge","Kenge","-4.8296","16.8999","Congo (Kinshasa)","CD","COD","Kwango","admin","241","1180158365"
"Gingoog","Gingoog","8.8304","125.1300","Philippines","PH","PHL","Misamis Oriental","","218","1608630986"
"Gaigirgordub","Gaigirgordub","9.5417","-78.9720","Panama","PA","PAN","Kuna Yala","admin","10","1591425685"
"Antipolo","Antipolo","14.5886","121.1757","Philippines","PH","PHL","Rizal","admin","","1608824345"
"Navotas","Navotas","14.6477","120.9591","Philippines","PH","PHL","Navotas","admin","","1608538447"
"Mandaluyong City","Mandaluyong City","14.5832","121.0409","Philippines","PH","PHL","Mandaluyong","admin","","1608166320"
"Mandaue City","Mandaue City","10.3237","123.9436","Philippines","PH","PHL","Mandaue","admin","","1608794590"
"Pasig City","Pasig City","14.5604","121.0812","Philippines","PH","PHL","Pasig","admin","","1608278212"
"Un’goofaaru","Un'goofaaru","5.6681","73.0302","Maldives","MV","MDV","","admin","","1462941721"
"Banqiao","Banqiao","25.0143","121.4672","Taiwan","TW","TWN","New Taipei","admin","","1158987347"
"Caloocan City","Caloocan City","14.6492","120.9826","Philippines","PH","PHL","Caloocan","admin","","1608897690"
"San Juan","San Juan","14.6000","121.0333","Philippines","PH","PHL","San Juan","admin","","1608817515"
"Valenzuela","Valenzuela","14.6936","120.9656","Philippines","PH","PHL","Valenzuela","admin","","1608492120"
"City of Parañaque","City of Paranaque","14.4978","120.9907","Philippines","PH","PHL","Parañaque","admin","","1608379532"
"Lucena","Lucena","13.9348","121.6127","Philippines","PH","PHL","Lucena","admin","","1608000461"
"Masbate","Masbate","12.3687","123.6225","Philippines","PH","PHL","Masbate","admin","","1608802236"
"Hackney","Hackney","51.5500","-0.0500","United Kingdom","GB","GBR","Hackney","admin","","1826413202"
"Tandag","Tandag","9.0783","126.1986","Philippines","PH","PHL","Surigao del Sur","admin","","1608155856"
